id,title,year,source,relevance,outcome_tags,effect_estimate_detected,doi,url,priority_score,queue
33,"Long-Term Maternal Cardiovascular Sequelae After Preeclampsia: A Five-Year Cohort Study at a Tertiary Hospital in Accra, Ghana",2020,zenodo,high,cardiovascular;hypertension;mortality,unknown,10.5281/zenodo.18526911,https://doi.org/10.5281/zenodo.18526911,30,now
6,Interventions for preventing obesity in children,2019,openalex,medium,unspecified,unknown,10.1002/14651858.cd001871.pub4,https://doi.org/10.1002/14651858.cd001871.pub4,20,next
10,Long Reach of Lead: Early Childhood Lead Exposure and Cognitive Ability Later-in-Life,2023,crossref,medium,cognitive,unknown,10.2139/ssrn.4462722,https://doi.org/10.2139/ssrn.4462722,20,next
11,"Global Burden of Lead Exposure: Integrating Epidemiology, Molecular Mechanisms, and Mitigation Approaches",2026,europe_pmc,medium,unspecified,unknown,,,20,next
14,Analysis of the relationship between early adverse childhood experiences and late-life health poverty vulnerability among rural middle-aged and elderly people in Ningxia: the mediating effect of chronic diseases and their comorbidities.,2026,europe_pmc,medium,unspecified,unknown,10.1186/s12889-026-26298-4,https://doi.org/10.1186/s12889-026-26298-4,20,next
15,"Effect of Lead Mining on the Arterial Blood Pressure of Mining Workers in Ameka Ezza South, Ebonyi State",2026,zenodo,medium,cardiovascular;hypertension,unknown,10.5281/zenodo.18630453,https://doi.org/10.5281/zenodo.18630453,20,next
17,Extreme weather and climate-related adverse childhood experiences are a humanitarian crisis during the 21st century.,2025,europe_pmc,medium,unspecified,unknown,10.1038/s43856-025-01089-x,https://doi.org/10.1038/s43856-025-01089-x,20,next
24,Compare the Effectiveness of Deflazacort and Prednisolone in Idiopathic Nephrotic Syndrome in Children,2024,zenodo,medium,unspecified,unknown,10.5281/zenodo.14515650,https://doi.org/10.5281/zenodo.14515650,20,next
26,The long-term cost of childhood conduct problems,2022,crossref,medium,unspecified,unknown,10.13056/acamh.19121,https://doi.org/10.13056/acamh.19121,20,next
27,The long-term effect of childhood exposure to technology using surrogates,2022,arxiv,medium,education,unknown,,http://arxiv.org/abs/2212.03351v2,20,next
34,Hidden epidemic? Childhood concussion may lead to long term cognitive and behavioural problems,2019,crossref,medium,cognitive,unknown,10.64628/ab.a5cugc9en,https://doi.org/10.64628/ab.a5cugc9en,20,next
39,Long-term Differences in Language and Cognitive Function After Childhood Exposure to Anesthesia,2012,crossref,medium,cognitive,unknown,10.1542/peds.2011-3822d,https://doi.org/10.1542/peds.2011-3822d,20,next
30,A systematic review on the association between total and cardiopulmonary mortality/morbidity or cardiovascular risk factors with long-term exposure to increased or decreased ambient temperature,2021,zenodo,low,cardiovascular;mortality,yes,10.1016/j.scitotenv.2021.145383,https://doi.org/10.1016/j.scitotenv.2021.145383,11,later
32,Decline in kidney function over the course of adulthood and cognitive function in midlife,2020,zenodo,low,cognitive;cardiovascular;kidney,yes,10.1212/wnl.0000000000010631,https://doi.org/10.1212/wnl.0000000000010631,11,later
1,"Global, regional, and national incidence, prevalence, and years lived with disability for 328 diseases and injuries for 195 countries, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016",2017,openalex,low,unspecified,unknown,10.1016/s0140-6736(17)32154-2,https://doi.org/10.1016/s0140-6736(17)32154-2,10,later
2,European Guidelines on cardiovascular disease prevention in clinical practice (version 2012): The Fifth Joint Task Force of the European Society of Cardiology and Other Societies on Cardiovascular Disease Prevention in Clinical Practice (constituted by representatives of nine societies and by invited experts) * Developed with the special contribution of the European Association for Cardiovascular Prevention &amp; Rehabilitation (EACPR),2012,openalex,low,cardiovascular,unknown,10.1093/eurheartj/ehs092,https://doi.org/10.1093/eurheartj/ehs092,10,later
3,Standards of Medical Care in Diabetes—2013,2012,openalex,low,unspecified,unknown,10.2337/dc13-s011,https://doi.org/10.2337/dc13-s011,10,later
4,ESC/EAS Guidelines for the management of dyslipidaemias: The Task Force for the management of dyslipidaemias of the European Society of Cardiology (ESC) and the European Atherosclerosis Society (EAS),2011,openalex,low,unspecified,unknown,10.1093/eurheartj/ehr158,https://doi.org/10.1093/eurheartj/ehr158,10,later
5,Global strategy for asthma management and prevention: GINA executive summary,2007,openalex,low,unspecified,unknown,10.1183/09031936.00138707,https://doi.org/10.1183/09031936.00138707,10,later
7,Standards of Medical Care in Diabetes—2011,2010,openalex,low,unspecified,unknown,10.2337/dc11-s011,https://doi.org/10.2337/dc11-s011,10,later
8,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis,2015,openalex,low,unspecified,unknown,10.1371/journal.pone.0138511,https://doi.org/10.1371/journal.pone.0138511,10,later
9,Unilateral multicystic dysplastic kidney: long term outcomes,2006,crossref,low,kidney,unknown,10.1136/adc.2006.095786,https://doi.org/10.1136/adc.2006.095786,10,later
12,"Unsafe drinking water and human health: A global umbrella review of disease outcomes, intervention effectiveness, and policy implications.",2026,europe_pmc,low,unspecified,unknown,10.1016/j.xcrm.2026.102588,https://doi.org/10.1016/j.xcrm.2026.102588,10,later
